pair_id,condition,epsilon,lpips,ssim,psnr
0,clean,,,,
0,random_4,0.01568627450980392,0.008857,0.953157,40.733754
0,random_8,0.03137254901960784,0.049024,0.846206,34.807120
0,fgsm_4,0.01568627450980392,0.055612,0.926819,37.847217
0,fgsm_8,0.03137254901960784,0.154333,0.797485,31.826722
0,pgd_4,0.01568627450980392,0.018429,0.971102,42.192630
0,pgd_8,0.03137254901960784,0.071929,0.906634,36.366670
1,clean,,,,
1,random_4,0.01568627450980392,0.002031,0.985597,40.824154
1,random_8,0.03137254901960784,0.010384,0.951251,34.968007
1,fgsm_4,0.01568627450980392,0.028359,0.967273,36.573866
1,fgsm_8,0.03137254901960784,0.104740,0.900106,30.647101
1,pgd_4,0.01568627450980392,0.009750,0.987012,40.801947
1,pgd_8,0.03137254901960784,0.038796,0.958035,35.004325
2,clean,,,,
2,random_4,0.01568627450980392,0.002261,0.979126,40.788426
2,random_8,0.03137254901960784,0.012760,0.927819,34.905267
2,fgsm_4,0.01568627450980392,0.033789,0.964259,37.363308
2,fgsm_8,0.03137254901960784,0.120092,0.888192,31.391704
2,pgd_4,0.01568627450980392,0.010052,0.986072,41.382817
2,pgd_8,0.03137254901960784,0.041022,0.953609,35.884576
3,clean,,,,
3,random_4,0.01568627450980392,0.009349,0.953150,40.730154
3,random_8,0.03137254901960784,0.047434,0.846068,34.799623
3,fgsm_4,0.01568627450980392,0.055601,0.926887,37.847220
3,fgsm_8,0.03137254901960784,0.153328,0.797568,31.826728
3,pgd_4,0.01568627450980392,0.019883,0.970500,41.933414
3,pgd_8,0.03137254901960784,0.071812,0.908723,36.636900
4,clean,,,,
4,random_4,0.01568627450980392,0.002107,0.985617,40.821021
4,random_8,0.03137254901960784,0.010184,0.951142,34.966913
4,fgsm_4,0.01568627450980392,0.028544,0.967389,36.574628
4,fgsm_8,0.03137254901960784,0.104965,0.900296,30.648096
4,pgd_4,0.01568627450980392,0.010707,0.986673,40.638760
4,pgd_8,0.03137254901960784,0.034128,0.959353,35.294687
5,clean,,,,
5,random_4,0.01568627450980392,0.002437,0.979098,40.791618
5,random_8,0.03137254901960784,0.013225,0.927842,34.905243
5,fgsm_4,0.01568627450980392,0.034012,0.964203,37.363668
5,fgsm_8,0.03137254901960784,0.118180,0.888178,31.392200
5,pgd_4,0.01568627450980392,0.009578,0.985975,41.381040
5,pgd_8,0.03137254901960784,0.038926,0.953681,35.874966
6,clean,,,,
6,random_4,0.01568627450980392,0.008971,0.953098,40.728340
6,random_8,0.03137254901960784,0.047688,0.846289,34.807088
6,fgsm_4,0.01568627450980392,0.056020,0.926730,37.847204
6,fgsm_8,0.03137254901960784,0.154702,0.797148,31.826708
6,pgd_4,0.01568627450980392,0.019748,0.970658,41.954237
6,pgd_8,0.03137254901960784,0.069766,0.907631,36.528499
7,clean,,,,
7,random_4,0.01568627450980392,0.001962,0.985596,40.818748
7,random_8,0.03137254901960784,0.010233,0.951278,34.972003
7,fgsm_4,0.01568627450980392,0.029943,0.967300,36.574122
7,fgsm_8,0.03137254901960784,0.107944,0.900057,30.648115
7,pgd_4,0.01568627450980392,0.010173,0.986685,40.698718
7,pgd_8,0.03137254901960784,0.037467,0.958876,35.187243
8,clean,,,,
8,random_4,0.01568627450980392,0.002463,0.979113,40.793655
8,random_8,0.03137254901960784,0.012878,0.927837,34.912192
8,fgsm_4,0.01568627450980392,0.032494,0.964230,37.363783
8,fgsm_8,0.03137254901960784,0.115676,0.888040,31.391441
8,pgd_4,0.01568627450980392,0.010189,0.985804,41.298480
8,pgd_8,0.03137254901960784,0.045815,0.952918,35.740649
9,clean,,,,
9,random_4,0.01568627450980392,0.009100,0.953004,40.725293
9,random_8,0.03137254901960784,0.048586,0.846236,34.807331
9,fgsm_4,0.01568627450980392,0.056137,0.926694,37.847208
9,fgsm_8,0.03137254901960784,0.153462,0.797051,31.826707
9,pgd_4,0.01568627450980392,0.018591,0.971262,42.050121
9,pgd_8,0.03137254901960784,0.067382,0.908774,36.491992
10,clean,,,,
10,random_4,0.01568627450980392,0.002026,0.985599,40.819969
10,random_8,0.03137254901960784,0.010522,0.951264,34.967436
10,fgsm_4,0.01568627450980392,0.029480,0.967336,36.572696
10,fgsm_8,0.03137254901960784,0.107831,0.900024,30.645170
10,pgd_4,0.01568627450980392,0.011636,0.986610,40.679811
10,pgd_8,0.03137254901960784,0.042063,0.958180,35.078980
11,clean,,,,
11,random_4,0.01568627450980392,0.002291,0.979083,40.783021
11,random_8,0.03137254901960784,0.012700,0.927709,34.900125
11,fgsm_4,0.01568627450980392,0.032143,0.964295,37.364213
11,fgsm_8,0.03137254901960784,0.116571,0.888506,31.393613
11,pgd_4,0.01568627450980392,0.009196,0.985867,41.265335
11,pgd_8,0.03137254901960784,0.039101,0.954328,35.828321
12,clean,,,,
12,random_4,0.01568627450980392,0.009298,0.953079,40.732760
12,random_8,0.03137254901960784,0.048007,0.846254,34.803271
12,fgsm_4,0.01568627450980392,0.055909,0.926834,37.847214
12,fgsm_8,0.03137254901960784,0.153704,0.797502,31.826725
12,pgd_4,0.01568627450980392,0.018045,0.971347,42.154345
12,pgd_8,0.03137254901960784,0.068318,0.908905,36.526046
13,clean,,,,
13,random_4,0.01568627450980392,0.001894,0.985582,40.816484
13,random_8,0.03137254901960784,0.010062,0.951135,34.961877
13,fgsm_4,0.01568627450980392,0.029241,0.967301,36.575239
13,fgsm_8,0.03137254901960784,0.105249,0.899934,30.649067
13,pgd_4,0.01568627450980392,0.009600,0.986958,40.786057
13,pgd_8,0.03137254901960784,0.036732,0.958718,35.112121
14,clean,,,,
14,random_4,0.01568627450980392,0.002579,0.979087,40.785587
14,random_8,0.03137254901960784,0.013136,0.927970,34.911185
14,fgsm_4,0.01568627450980392,0.032807,0.964148,37.363777
14,fgsm_8,0.03137254901960784,0.116731,0.887976,31.392228
14,pgd_4,0.01568627450980392,0.010380,0.986257,41.523604
14,pgd_8,0.03137254901960784,0.039761,0.954282,35.964307
15,clean,,,,
15,random_4,0.01568627450980392,0.009072,0.953161,40.730935
15,random_8,0.03137254901960784,0.047877,0.846376,34.804823
15,fgsm_4,0.01568627450980392,0.055457,0.926900,37.847202
15,fgsm_8,0.03137254901960784,0.153546,0.797422,31.826724
15,pgd_4,0.01568627450980392,0.023899,0.969448,41.778284
15,pgd_8,0.03137254901960784,0.068293,0.908468,36.577994
16,clean,,,,
16,random_4,0.01568627450980392,0.001912,0.985607,40.817493
16,random_8,0.03137254901960784,0.010164,0.951275,34.968241
16,fgsm_4,0.01568627450980392,0.029899,0.967240,36.574563
16,fgsm_8,0.03137254901960784,0.107075,0.900063,30.648744
16,pgd_4,0.01568627450980392,0.010070,0.986713,40.698912
16,pgd_8,0.03137254901960784,0.038075,0.958389,35.158398
17,clean,,,,
17,random_4,0.01568627450980392,0.002356,0.979045,40.780101
17,random_8,0.03137254901960784,0.012703,0.927799,34.904579
17,fgsm_4,0.01568627450980392,0.033871,0.964261,37.364093
17,fgsm_8,0.03137254901960784,0.118680,0.888198,31.393109
17,pgd_4,0.01568627450980392,0.010585,0.985740,41.254637
17,pgd_8,0.03137254901960784,0.040309,0.953805,36.024736
18,clean,,,,
18,random_4,0.01568627450980392,0.008941,0.953122,40.730255
18,random_8,0.03137254901960784,0.046824,0.846197,34.806643
18,fgsm_4,0.01568627450980392,0.055434,0.926828,37.847216
18,fgsm_8,0.03137254901960784,0.152644,0.797409,31.826721
18,pgd_4,0.01568627450980392,0.019929,0.970539,41.984089
18,pgd_8,0.03137254901960784,0.072623,0.907876,36.528079
19,clean,,,,
19,random_4,0.01568627450980392,0.001930,0.985643,40.826369
19,random_8,0.03137254901960784,0.009836,0.951324,34.979042
19,fgsm_4,0.01568627450980392,0.028963,0.967164,36.575159
19,fgsm_8,0.03137254901960784,0.107662,0.899851,30.649085
19,pgd_4,0.01568627450980392,0.009450,0.987155,40.819539
19,pgd_8,0.03137254901960784,0.038556,0.958315,35.148578
20,clean,,,,
20,random_4,0.01568627450980392,0.002343,0.979049,40.777252
20,random_8,0.03137254901960784,0.012391,0.927734,34.903631
20,fgsm_4,0.01568627450980392,0.032973,0.964240,37.363945
20,fgsm_8,0.03137254901960784,0.116555,0.888140,31.392378
20,pgd_4,0.01568627450980392,0.009878,0.985797,41.294486
20,pgd_8,0.03137254901960784,0.039426,0.953189,35.841401
21,clean,,,,
21,random_4,0.01568627450980392,0.009547,0.952883,40.716594
21,random_8,0.03137254901960784,0.048602,0.846324,34.806180
21,fgsm_4,0.01568627450980392,0.054795,0.926827,37.847210
21,fgsm_8,0.03137254901960784,0.153054,0.797297,31.826694
21,pgd_4,0.01568627450980392,0.019847,0.970528,41.929901
21,pgd_8,0.03137254901960784,0.074724,0.906081,36.364100
22,clean,,,,
22,random_4,0.01568627450980392,0.001926,0.985610,40.822701
22,random_8,0.03137254901960784,0.010113,0.951219,34.962750
22,fgsm_4,0.01568627450980392,0.029266,0.967255,36.572751
22,fgsm_8,0.03137254901960784,0.108399,0.900097,30.645195
22,pgd_4,0.01568627450980392,0.011301,0.986553,40.672781
22,pgd_8,0.03137254901960784,0.040549,0.958460,35.118080
23,clean,,,,
23,random_4,0.01568627450980392,0.002438,0.979049,40.786526
23,random_8,0.03137254901960784,0.012890,0.927795,34.905313
23,fgsm_4,0.01568627450980392,0.032987,0.964265,37.363368
23,fgsm_8,0.03137254901960784,0.117054,0.888074,31.391586
23,pgd_4,0.01568627450980392,0.009626,0.985951,41.385732
23,pgd_8,0.03137254901960784,0.041268,0.953730,35.840784
24,clean,,,,
24,random_4,0.01568627450980392,0.009461,0.953095,40.732482
24,random_8,0.03137254901960784,0.048283,0.846521,34.809788
24,fgsm_4,0.01568627450980392,0.054926,0.926825,37.847208
24,fgsm_8,0.03137254901960784,0.153617,0.797281,31.826705
24,pgd_4,0.01568627450980392,0.018991,0.971200,42.109480
24,pgd_8,0.03137254901960784,0.070924,0.907274,36.437073
25,clean,,,,
25,random_4,0.01568627450980392,0.002055,0.985626,40.819236
25,random_8,0.03137254901960784,0.010547,0.951339,34.967710
25,fgsm_4,0.01568627450980392,0.029341,0.967354,36.574907
25,fgsm_8,0.03137254901960784,0.106463,0.900405,30.648172
25,pgd_4,0.01568627450980392,0.010258,0.986625,40.686656
25,pgd_8,0.03137254901960784,0.037596,0.958012,35.010994
26,clean,,,,
26,random_4,0.01568627450980392,0.002353,0.979094,40.786110
26,random_8,0.03137254901960784,0.012988,0.927829,34.904372
26,fgsm_4,0.01568627450980392,0.033249,0.964276,37.363782
26,fgsm_8,0.03137254901960784,0.115839,0.888313,31.392320
26,pgd_4,0.01568627450980392,0.009690,0.986135,41.469362
26,pgd_8,0.03137254901960784,0.041892,0.953557,35.871846
27,clean,,,,
27,random_4,0.01568627450980392,0.008683,0.953016,40.724438
27,random_8,0.03137254901960784,0.047729,0.846236,34.801797
27,fgsm_4,0.01568627450980392,0.054397,0.926833,37.847220
27,fgsm_8,0.03137254901960784,0.151814,0.797328,31.826721
27,pgd_4,0.01568627450980392,0.019399,0.970738,42.061064
27,pgd_8,0.03137254901960784,0.069069,0.907476,36.426005
28,clean,,,,
28,random_4,0.01568627450980392,0.002144,0.985568,40.817120
28,random_8,0.03137254901960784,0.009803,0.951176,34.968181
28,fgsm_4,0.01568627450980392,0.029965,0.967393,36.570965
28,fgsm_8,0.03137254901960784,0.107959,0.900153,30.642335
28,pgd_4,0.01568627450980392,0.010286,0.986489,40.590990
28,pgd_8,0.03137254901960784,0.039723,0.957947,35.058067
29,clean,,,,
29,random_4,0.01568627450980392,0.002308,0.979005,40.787900
29,random_8,0.03137254901960784,0.013020,0.927815,34.908309
29,fgsm_4,0.01568627450980392,0.033526,0.964256,37.363832
29,fgsm_8,0.03137254901960784,0.116291,0.888190,31.392152
29,pgd_4,0.01568627450980392,0.009992,0.985534,41.153615
29,pgd_8,0.03137254901960784,0.041546,0.952931,35.777185
30,clean,,,,
30,random_4,0.01568627450980392,0.009125,0.953093,40.727718
30,random_8,0.03137254901960784,0.048021,0.846076,34.798032
30,fgsm_4,0.01568627450980392,0.054277,0.926838,37.847216
